Type,Module,Name,Documented,Documentation Files,Suggested Doc Path
Function,trim.forms.widgets,clearable_file_input,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,date,Yes,models/fields.md; models/fields-auto.md; old/models.md; old/old r.md; forms/all-fields-form.md; recipes/todo-list.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,date_time,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,date_time_base,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,email,Yes,account.md; README-4.md; README-2.md; models/fields-auto-template.md; models/fields.md; models/readme.md; models/fields-auto.md; old/models.md; old/old r.md; forms/readme.md; forms/all-fields-form.md; templates/tags/quickform.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,file,Yes,README-3.md; apps.md; trim-beacon.md; markdown.md; README-4.md; theming/readme.md; urls/functions.md; urls/readme.md; models/fields.md; models/fields-auto.md; old/models.md; old/readme-short.md; forms/all-fields-form.md; views/files-up-down.md; research/trim-docs.md; research/trim more.md; research/themes.md; research/trim bundle.md; research/trim-scripts.md; templates/tags/css-js-tag.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,hidden,Yes,readme.md; widgets/hidden.md; forms/quickforms.md; forms/all-fields-form.md; templates/tags/quickform.md; frontend/js/toggle-links.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,multi_widget,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,multiple_hidden,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,null_boolean_select,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,number,Yes,models/fields-auto.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,ordered_set,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,password,Yes,forms/all-fields-form.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,radios,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,select,Yes,research/trim-docs.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,select_date,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,select_multiple,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,split_date_time,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,split_hidden_date_time,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,text,Yes,readme.md; README-4.md; README-2.md; models/fields-auto-template.md; models/fields.md; models/readme.md; models/fields-auto.md; old/models.md; old/old r.md; old/readme-short.md; forms/quickforms.md; forms/readme.md; forms/all-fields-form.md; research/trim-beacon.md; templates/tags/css-js-tag.md; templates/tags/strings.md; templates/tags/wrap.md; templates/tags/link/readme.md; frontend/js/toggle-links.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,textarea,Yes,old/old r.md; forms/readme.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,time,Yes,README-3.md; apps.md; trim-beacon.md; README-4.md; models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md; research/trim-beacon.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,url,Yes,README-3.md; account.md; README-4.md; urls/functions.md; urls/readme.md; models/fields.md; models/fields-auto.md; old/models.md; old/urls.md; old/views.md; old/old r.md; old/Custom 404.md; old/readme-short.md; forms/quickforms.md; forms/all-fields-form.md; views/list-views.md; views/files-up-down.md; recipes/todo-list.md; recipes/listview.md; research/trim-docs.md; research/trim-beacon.md; templates/tags/css-js-tag.md; templates/tags/updated-params.md; templates/tags/quickform.md; templates/tags/link/readme.md; old/urls/as_templates.md,docs/trim/forms/widgets.md
Class,trim.management.commands.gen_doc,Command,Yes,execute.md; old/notes.md; research/trim-docs.md; research/trim bundle.md; templates/tags/strings.md,docs/trim/management/commands/gen_doc.md
Class,trim.markdown.response,MarkdownDoubleTemplateResponse,No,,docs/trim/markdown/response.md
Class,trim.markdown.response,MarkdownReponseMixin,Yes,markdown.md,docs/trim/markdown/response.md
Class,trim.markdown.response,MarkdownTemplateResponse,Yes,markdown.md,docs/trim/markdown/response.md
Class,trim.markdown.response,MarkdownToMarkdownTemplateResponse,No,,docs/trim/markdown/response.md
Class,trim.markdown.response,MissingImportError,No,,docs/trim/markdown/response.md
Class,trim.merge,FileExists,No,,docs/trim/merge.md
Function,trim.merge,recombine,No,,docs/trim/merge.md
Function,trim.merge,split_i,No,,docs/trim/merge.md
Class,trim.models.auto,AutoModelMixin,Yes,models/auto_model_mixin.md,docs/trim/models/auto.md
Function,trim.models.auto,bind_mixins,No,,docs/trim/models/auto.md
Function,trim.models.auto,get_classes,No,,docs/trim/models/auto.md
Function,trim.models.auto,hook_init_model_mixins,No,,docs/trim/models/auto.md
Function,trim.models.auto,hook_model_mixin_class,No,,docs/trim/models/auto.md
Function,trim.models.auto,hook_waiting_model_mixins,No,,docs/trim/models/auto.md
